序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,品牌,备注滴水盘材质、长度
3,直流无刷卧式暗装风机盘管,SDCR600E30D21PBF-WA4,0,1020,169,台,0,0,0,0,1235,208715,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
4,直流无刷卧式暗装风机盘管,SDCR700E30D21PBF-WA4,0,1190,1063,台,0,0,0,0,1408,1496704,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
5,直流无刷卧式暗装风机盘管,SDCR1000E30D21PBF-WA4,0,1700,94,台,0,0,0,0,1917,180198,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
6,直流无刷卧式暗装风机盘管,SDCR1200E30D21PBF-WA4,0,2040,9,台,0,0,0,0,1990,17910,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
7,直流无刷卧式暗装风机盘管,SDCR1400E30D21PBF-WA4,0,2380,9,台,0,0,0,0,2230,20070,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
8,直流无刷卧式暗装风机盘管,SDCR200E30PBF-WA4,0,340,5,台,0,0,0,0,866,4330,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
9,直流无刷卧式暗装风机盘管,SDCR400E30PBF-WA4,0,680,5,台,0,0,0,0,999,4995,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
10,直流无刷卧式暗装风机盘管,SDCR600E30PBF-WA4,0,1020,13,台,0,0,0,0,1134,14742,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
11,直流无刷卧式暗装风机盘管,SDCR1000E30PBF-WA4,0,1700,50,台,0,0,0,0,1796,89800,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
12,直流无刷卧式暗装风机盘管,SDCR1200E30PBF-WA4,0,2040,20,台,0,0,0,0,1863,37260,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
13,直流无刷卧式暗装风机盘管,SDCR1400E30PBF-WA4,0,2380,70,台,0,0,0,0,2092,146440,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
14,交流电机卧式暗装风机盘管,SGCR200E30D21PBF-WA1,0,340,12,台,0,0,0,0,625,7500,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
15,交流电机卧式暗装风机盘管,SGCR600E30D21PBF-WA1,0,1020,28,台,0,0,0,0,908,25424,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
16,交流电机卧式暗装风机盘管,SGCR1000E30D21PBF-WA1,0,1700,39,台,0,0,0,0,1393,54327,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
17,交流电机卧式暗装风机盘管,SGCR800E30D21PBF-WA1,0,1360,22,台,0,0,0,0,1262,27764,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
18,交流电机卧式暗装风机盘管,SGCR200E30D21PBF-WA1,0,340,13,台,0,0,0,0,625,8125,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
19,交流电机卧式暗装风机盘管,SGCR600E30D21PBF-WA1,0,1020,12,台,0,0,0,0,908,10896,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
20,交流电机卧式暗装风机盘管,SGCR800E30D21PBF-WA1,0,1360,16,台,0,0,0,0,1262,20192,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
1,FCU-02,DCHC02,四管制,340,18,台,铝制,840,39,38,917,16506,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
2,FCU-03,DCHC03,四管制,510,37,台,铝制,940,44,48,1032,38184,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
3,FCU-04,DCHC04,四管制,680,230,台,铝制,980,48,70,1098,252540,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
4,FCU-05,DCHC05,四管制,850,121,台,铝制,1034,54,77,1165,140965,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
5,FCU-06,DCHC06,四管制,1020,120,台,铝制,1083,64,84,1231,147720,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
6,FCU-08,DCHC08,四管制,1360,1473,台,铝制,1555,70,126,1751,2579223,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
7,FCU-12,DCHC12,两管制,2040,8,台,铝制,1408,无,无,1408,11264,特灵,镀锌钢板加长310mm，直流无刷，含温控器（特灵），含2台检测费用，无预付款，每批次发货前支付至该批货款的50%，货到现场验收合格一个月付至到货金额97%，3%质保金3年。
1,卧式暗装风机盘管,F-3,两管制,"1、带回风箱《后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修4、湍足低温水工况：5、冷轧镀锦钢板制成，厚度不小于1.2mm,水盘盘底底保温，加长50mm.",63,台,0,0,0,0,735,46305,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
2,卧式暗装风机盘管,F-4,两管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2mm,水盘盘底底保温，加长50mm",65,台,0,0,0,0,830,53950,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
3,卧式暗装风机盘管,F-8,两管制,"l1、带回风箱(后回风),2、铝质过滤网。可分段，可拆洗：3、回风箱底部可拆卸检修：4、澜足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2mn,水盘盘底底保温，加长50mm.",1,台,0,0,0,0,1230,1230,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
4,卧式暗装风机盘管,F-2s,四管制,"1、带回风箱(后回风》:2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2m,水盘盘底底保温，加长50mm。",1,台,0,0,0,0,730,730,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
5,卧式暗装风机盘管,F-4,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2m,水盘盘底底保温，加长50m。",14,台,0,0,0,0,980,13720,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
6,卧式暗装风机盘管,F-4s,四管制,"l1、带回风箱(后回风》:2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2m,水盘盘底底保温，加长50mm",7,台,0,0,0,0,980,6860,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
7,卧式暗装风机盘管,F-6,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2mm,水盘盘底底保温，加长50mm",36,台,0,0,0,0,1130,40680,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
8,卧式暗装风机盘管,F-6s,四管制,"1、楷画风箱(后回风》:2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2m,水盘盘底底保温，加长50mm",100,台,0,0,0,0,1130,113000,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
9,卧式暗装风机盘管,F-8s,四管制,"1.楷属风箱(后回风):2、铝厢过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2mm,水盘盘底底保温，加长50mm。",61,台,0,0,0,0,1530,93330,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
10,卧式暗装风机盘管,F-10,四管制,"1、楷回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底部可拆卸检修4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于1.2mm,水盘盘底底保温，加长50mm。",1,台,0,0,0,0,1680,1680,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
11,温控面板(联网型),0,两管制三线,1、风速高中低挡调节：2、通讯接口：485(2线):通讯协议： MODBUS3、外置感温探头接口,129,套,0,0,0,0,150,19350,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
12,温控面板(联网型),0,四管制三线,1、风速高中低挡调节：2、通讯接口：485(2线)通讯协议： MCDBUS3、外置感温探头接口,211,套,0,0,0,0,150,31650,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
13,温控面板(联网型),0,两管制三线,1、风速高中低挡调节2、通讯接口：485(2线)通讯协议：MODBUS,1,套,0,0,0,0,150,150,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
14,温控面板(联网型),0,四管制三线,1、风速高中低挡调节：2、通讯接口：485(2线)通讯协议：MODBUS,1,套,0,0,0,0,150,150,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
15,温控面板(普通型),0,两管制三线,1、风速高中低挡调节2、外置感温探头接口,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
16,温控面板(普通型),0,四管制三线,1、风速高中低挡调节2、外置感温探头接口,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
17,温控面板(普通型),0,两管制三线,1、风速高中低挡调节,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
18,温控面板(普通型),0,四管制三线,1、风速高中低挡调节,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
19,外置感温线,0,0,1、带感温探头2、长度1.5米3、带接口,100,套,0,0,0,0,4,400,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
20,外置感温线,0,0,1、带感温探头2、长度3米3、带接口,100,套,0,0,0,0,10,1000,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
21,外置感温线,0,0,1、带感温探头2、长度5米3、带接口,100,套,0,0,0,0,12,1200,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
1,卧式暗装风机盘管,F-3,两管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修；4、满足低温水工况；5、冷轧镀锌钢板制成，厚度不小于",19,台,0,0,0,0,735,13965,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
2,卧式暗装风机盘管,F-4,两管制,"1、带回风箱(后回风),2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",53,台,0,0,0,0,830,43990,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
3,卧式暗装风机盘管,F-8,两管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",1,台,0,0,0,0,1230,1230,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
4,卧式暗装风机盘管,F-2,四管制,"1、带向风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况；5、冷轧镀锌钢板制成，厚度不小于",1,台,0,0,0,0,730,730,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
5,卧式暗装风机盘管,F-4,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",11,台,0,0,0,0,980,10780,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
6,卧式暗装风机盘管,F-6,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",21,台,0,0,0,0,1130,23730,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
7,卧式暗装风机盘管,F-8,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",32,台,0,0,0,0,1530,48960,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
8,温控面板(联网型),0,两管制三线,"1、风速高中低挡调节：2、通讯接口：485(2线);通讯协议： MODBUS;3
外置感温探头接口；",73,套,0,0,0,0,150,10950,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
9,温控面板(联网型),0,四管制三线,"1、风速高中低挡调节：2、通讯接口：485(2线);通讯协议： MODBUS;3
外置感温探头接口；",65,套,0,0,0,0,150,9750,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
10,温控面板(联网型),0,两管制三线,1、风速高中低挡调节：2、通讯接口：485(2线):通讯协议： MODBUS:,1,套,0,0,0,0,150,150,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
11,温控面板(联网型),0,四管制三线,1、风速高中低挡调节：2、通讯接口：485(2线):通讯协议： MODBUS:,1,套,0,0,0,0,150,150,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
12,温控面板(普通型),0,两管制三线,1、风速高中低挡调节；2、外置感温探头接口；,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
13,温控面板(普通型),0,四管制三线,1、风速高中低挡调节；2、外置感温探头接口；,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
14,温控面板(普通型),0,两管制三线,1、风速高中低挡调节；,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
15,温控面板(普通型),0,四管制三线,1、风速高中低挡调节；,1,套,0,0,0,0,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
16,外置感温线,0,0,1、带感温探头；2、长度1.5米；3、带接口,50,套,0,0,0,0,4,200,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
17,外置感温线,0,0,1、带感温探头；2、长度3米；3、带接口,50,套,0,0,0,0,10,500,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
1,风机盘管,FCU(2)-1P,0,0,3,台,0,0,0,0,1152,3456,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
2,风机盘管,FCU(2)-2P,0,0,13,台,0,0,0,0,1011,13143,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
3,风机盘管,FCU(2)-3P,0,0,2,台,0,0,0,0,759,1518,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
4,风机盘管,FCU(2)-4P,0,0,8,台,0,0,0,0,649,5192,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
5,风机盘管,FCU(2)-5P,0,0,6,台,0,0,0,0,594,3564,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
6,风机盘管,FCU(4)-2P,0,0,62,台,0,0,0,0,1253,77686,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
7,风机盘管,FCU(4)-3P,0,0,2,台,0,0,0,0,914,1828,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
8,风机盘管,FCU(4)-4P,0,0,5,台,0,0,0,0,793,3965,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
9,风机盘管,FCU(4)-5P,0,0,65,台,0,0,0,0,713,46345,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
10,温控器,0,0,0,166,套,0,0,0,0,177,29382,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
1,卧式暗装风 机盘管,FP-51WAHS/H,两管制三排管,520,55,台,无,425,无,45,470,25850,格力,"材质Q235A, 805mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
2,卧式暗装风 机盘管,FP-68WAHS/H,两管制三排管,710,11,台,无,477,无,50,527,5797,格力,"材质Q235A, 865mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
3,卧式暗装风 机盘管,FP-85WAHS/H,两管制三排管,870,71,台,无,481,无,55,536,38056,格力,"材质Q235A, 930mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
4,卧式暗装风 机盘管,FP-102WAHS/H,两管制三排管,1050,179,台,无,542,无,60,602,107758,格力,"材质Q235A, 1030mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
5,卧式暗装风 机盘管,FP-119WAHS/H,两管制三排管,1190,1,台,无,624,无,70,694,694,格力,"材质Q235A, 1205mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
6,卧式暗装风 机盘管,FP-136WAHS/H,两管制三排管,1420,981,台,无,744,无,80,824,808344,格力,"材质Q235A, 1405mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
7,卧式暗装风 机盘管,FP-170WAHS/H,两管制三排管,1700,107,台,无,849,无,90,939,100473,格力,"材质Q235A, 1505mm，2025.1.8，（1）、无预付款；（2）、货到现场验收合格一个月内付送货金额的80%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。"
