序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
18,给排水,截止阀,DN20,J11W-25P,2.5MPa,,,,,,个,2,16.97,33.94,0.13,4.4121999999999995,38.352199999999996,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
19,给排水,可曲挠软接头,DN80,KDTF-25C,2.0MPa,,,,,,个,7,220.54,1543.78,0.13,200.69140000000002,1744.4714,渤海,"304不锈钢2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
20,给排水,闸阀,DN80,Z45T-25Q,2.0MPa,,,,,,个,9,267.2,2404.7999999999997,0.13,312.62399999999997,2717.4239999999995,渤海,"球磨铸铁阀体，
铸铁阀芯，阀芯
涂层为环氧树  脂，铜密封面，硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
21,给排水,闸阀,DN100,Z45T-25Q,2.0MPa,,,,,,个,2,278.22,556.44,0.13,72.33720000000001,628.7772000000001,渤海,"球磨铸铁阀体，
铸铁阀芯，阀芯
涂层为环氧树
脂，铜密封面， 硬密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
22,给排水,防水锤消声止回阀,DN80,HC41X-25C,2.0MPa,,,,,,个,7,203.58,1425.0600000000002,0.13,185.25780000000003,1610.3178000000003,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
23,给排水,截止阀,DN20,J11W-25P,2.0MPa,,,,,,个,2,16.97,33.94,0.13,4.4121999999999995,38.352199999999996,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
24,给排水,可曲挠软接头,DN80,KDTF-16C,1.6MPa,,,,,,个,7,220.54,1543.78,0.13,200.69140000000002,1744.4714,渤海,"304不锈钢2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
25,给排水,闸阀,DN80,Z45X-16Q,1.6MPa,,,,,,个,9,224.78,2023.02,0.13,262.9926,2286.0126,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
26,给排水,闸阀,DN100,Z45X-16Q,1.6MPa,,,,,,个,2,278.22,556.44,0.13,72.33720000000001,628.7772000000001,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
27,给排水,防水锤消声止回阀,DN80,HC41X-16Q,1.6MPa,,,,,,个,7,173.04,1211.28,0.13,157.4664,1368.7464,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
28,给排水,截止阀,DN20,J11W-16T,1.6MPa,,,,,,个,2,16.97,33.94,0.13,4.4121999999999995,38.352199999999996,渤海,"全铜
球磨铸铁阀体，2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
29,给排水,闸阀,DN200,Z45X-16Q,1.0MPa,,,,,,个,7,846.88,5928.16,0.13,770.6608,6698.8207999999995,渤海,"球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
30,给排水,闸阀,DN100,Z45X-16Q,1.0MPa,,,,,,个,13,278.22,3616.8600000000006,0.13,470.1918000000001,4087.0518000000006,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
31,给排水,闸阀,DN150,Z45X-16Q,1.0MPa,,,,,,个,1,509.79,509.79,0.13,66.2727,576.0627000000001,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
32,给排水,闸阀,DN65,Z45X-16Q,1.0MPa,,,,,,个,6,190.86,1145.16,0.13,148.8708,1294.0308,渤海,"球磨铸铁阀体， 球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
33,给排水,Y型过滤器,DN100,GL41H-16Q,1.0MPa,,,,,,个,3,201.88,605.64,0.13,78.7332,684.3732,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
34,给排水,Y型过滤器,DN40,GL11H-16T,1.0MPa,,,,,,个,2,50.05,100.1,0.13,13.013,113.113,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
35,给排水,Y型过滤器,DN150,GL41H-16Q,1.0MPa,,,,,,个,1,357.95,357.95,0.13,46.533500000000004,404.4835,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
36,给排水,Y型过滤器,DN20,GL11H-16T,1.0MPa,,,,,,个,3,16.12,48.36,0.13,6.2868,54.6468,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
37,给排水,倒流防止器,DN40,DF14X-16T,1.0MPa,,,,,,个,7,171.35,1199.45,0.13,155.9285,1355.3785,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
38,给排水,倒流防止器,DN100,DF41X-16Q,1.0MPa,,,,,,个,2,456.35,912.7,0.13,118.65100000000001,1031.351,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
39,给排水,倒流防止器,DN20,DF14X-16T,1.0MPa,,,,,,个,3,64.47,193.41,0.13,25.1433,218.5533,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
40,给排水,可曲挠软接头,DN100,KDTF-16C,1.0MPa,,,,,,个,6,104.33,625.98,0.13,81.37740000000001,707.3574,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
41,给排水,可曲挠软接头,DN150,KDTF-16C,1.0MPa,,,,,,个,1,190.86,190.86,0.13,24.8118,215.67180000000002,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
42,给排水,可曲挠软接头,DN20,KDTF-16C,1.0MPa,,,,,,个,3,27.99,83.97,0.13,10.9161,94.8861,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
43,给排水,可曲挠软接头,DN40,KDTF-16C,1.0MPa,,,,,,个,2,50.05,100.1,0.13,13.013,113.113,渤海,"橡胶NR2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
44,给排水,遥控水力控制阀,DN100,100X-16Q,1.0MPa,,,,,,个,7,708.28,4957.96,0.13,644.5348,5602.4948,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
45,给排水,蝶阀,DN100,D71XP-16Q,1.0MPa,,,,,,个,2,106.03,212.06,0.13,27.567800000000002,239.6278,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
46,给排水,截止阀,DN20,J11W-16T,1.0MPa,,,,,,个,6,16.97,101.82,0.13,13.2366,115.05659999999999,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
47,给排水,截止阀,DN40,J11W-16T,1.0MPa,,,,,,个,48,48.35,2320.8,0.13,301.704,2622.5040000000004,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
48,给排水,截止阀,DN25,J11W-16T,1.0MPa,,,,,,个,2,24.6,49.2,0.13,6.396000000000001,55.596000000000004,渤海,"全铜2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
49,给排水,截止阀,DN50,J11W-16T,1.0MPa,,,,,,个,2,76.34,152.68,0.13,19.8484,172.5284,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
50,给排水,截止阀,DN100,J41T-16,1.0MPa,,,,,,个,10,294.34,2943.3999999999996,0.13,382.64199999999994,3326.0419999999995,渤海,"铸铁铜芯阀2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
51,给排水,自动排气阀,DN15,P11X-16Q,1.0MPa,,,,,,个,5,26.3,131.5,0.13,17.095,148.595,渤海,"全铜含前端截止阀 。2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
52,给排水,止回阀,DN50,H14W-16T,1.0MPa,,,,,,个,1,65.31,65.31,0.13,8.490300000000001,73.80030000000001,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
53,给排水,止回阀,DN40,H14W-16T,1.0MPa,,,,,,个,23,45.8,1053.3999999999999,0.13,136.94199999999998,1190.3419999999999,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
54,给排水,止回阀,DN100,HC44X-16Q,1.0MPa,,,,,,个,1,245.99,245.99,0.13,31.978700000000003,277.9687,渤海,"球墨铸铁2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
55,给排水,闸阀,DN100,Z45X-16Q,1.6MPa,,,,,,个,18,278.22,5007.960000000001,0.13,651.0348000000001,5658.994800000001,渤海,"球磨铸铁阀体，
球磨铸铁衬胶阀 芯，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
56,给排水,闸阀,DN65,Z45X-16Q,1.6MPa,,,,,,个,2,190.86,381.72,0.13,49.6236,431.34360000000004,渤海,"球磨铸铁阀体， 球磨铸铁衬胶阀
芯 ，软密封2025.1.13,（1）、无预付款；（2）、货到现场一个月内付至送货金额75%；（3）、项目竣工验收合格后一个月内付至送货金额80%；（4）、甲方与业主结算完成并移交档案资料且通过档案验收后付至结算金额的97%；（5）、留结算金额3%质保金，质保二年，质保期自项目竣工验收合格之日起计算。（质保金无息支付）。"
