序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
32,风阀,FD,120*100,2mm,28,个,143,4004,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
33,风阀,FD,1200*1000,2mm,1,个,774,774,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
34,风阀,FD,1200*400,2mm,1,个,472,472,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
35,风阀,FD,1200*630,2mm,2,个,562,1124,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
36,风阀,FD,1200*800,2mm,1,个,629,629,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
37,风阀,FD,1250*1250,2mm,1,个,892,892,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
38,风阀,FD,1250*320,2mm,6,个,453,2718,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
39,风阀,FD,1250*400,2mm,11,个,485,5335,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
40,风阀,FD,1250*500,2mm,1,个,525,525,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
41,风阀,FD,1250*630,2mm,12,个,577,6924,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
42,风阀,FD,1250*700,2mm,2,个,605,1210,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
43,风阀,FD,1250*800,2mm,23,个,645,14835,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
44,风阀,FD,1500*1000,2mm,1,个,881,881,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
45,风阀,FD,160*120,2mm,146,个,155,22630,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
46,风阀,FD,1600*1250,2mm,1,个,1032,1032,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
47,风阀,FD,1600*400,2mm,2,个,639,1278,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
48,风阀,FD,1600*500,2mm,7,个,685,4795,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
49,风阀,FD,1600*630,2mm,1,个,745,745,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
50,风阀,FD,1600*650,2mm,2,个,754,1508,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
51,风阀,FD,1700*450,2mm,1,个,687,687,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
52,风阀,FD,1700*650,2mm,4,个,784,3136,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
53,风阀,FD,1800*500,2mm,1,个,738,738,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
54,风阀,FD,1800*650,2mm,1,个,813,813,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
55,风阀,FD,1800*800,2mm,3,个,888,2664,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
56,风阀,FD,1830*650,2mm,1,个,822,822,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
57,风阀,FD,200*100,2mm,25,个,159,3975,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
58,风阀,FD,200*120,2mm,24,个,163,3912,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
59,风阀,FD,200*160,2mm,2,个,172,344,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
60,风阀,FD,200*200,2mm,56,个,180,10080,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
61,风阀,FD,200*400,2mm,1,个,223,223,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
62,风阀,FD,250*120,2mm,25,个,173,4325,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
63,风阀,FD,250*160,2mm,2,个,182,364,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
64,风阀,FD,250*250,2mm,8,个,202,1616,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
65,风阀,FD,250*400,2mm,3,个,235,705,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
66,风阀,FD,2500*600,2mm,2,个,1130,2260,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
67,风阀,FD,320*120,2mm,14,个,187,2618,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
68,风阀,FD,320*160,2mm,2,个,196,392,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
69,风阀,FD,320*200,2mm,66,个,206,13596,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
70,风阀,FD,320*250,2mm,11,个,218,2398,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
71,风阀,FD,320*400,2mm,1,个,253,253,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
72,风阀,FD,400*120,2mm,2,个,203,406,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
73,风阀,FD,400*160,2mm,7,个,213,1491,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
74,风阀,FD,400*200,2mm,13,个,223,2899,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
75,风阀,FD,400*250,2mm,17,个,235,3995,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
76,风阀,FD,400*320,2mm,5,个,253,1265,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
77,风阀,FD,400*400,2mm,28,个,273,7644,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
78,风阀,FD,400*500,2mm,3,个,298,894,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
79,风阀,FD,400*630,2mm,1,个,330,330,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
80,风阀,FD,400*700,2mm,2,个,347,694,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
81,风阀,FD,500*120,2mm,20,个,223,4460,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
82,风阀,FD,500*200,2mm,11,个,244,2684,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
83,风阀,FD,500*250,2mm,17,个,258,4386,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
84,风阀,FD,500*320,2mm,72,个,276,19872,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
85,风阀,FD,500*400,2mm,1,个,298,298,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
86,风阀,FD,500*500,2mm,18,个,324,5832,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
87,风阀,FD,500*800,2mm,2,个,404,808,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
88,风阀,FD,600*400,2mm,1,个,323,323,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
89,风阀,FD,630*1600,2mm,2,个,893,1786,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
90,风阀,FD,630*200,2mm,5,个,272,1360,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
91,风阀,FD,630*250,2mm,3,个,287,861,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
92,风阀,FD,630*320,2mm,70,个,307,21490,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
93,风阀,FD,630*400,2mm,7,个,330,2310,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
94,风阀,FD,630*500,2mm,7,个,359,2513,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
95,风阀,FD,630*630,2mm,3,个,397,1191,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
96,风阀,FD,700*400,2mm,5,个,347,1735,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
97,风阀,FD,700*500,2mm,1,个,378,378,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
98,风阀,FD,750*1200,2mm,2,个,676,1352,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
99,风阀,FD,750*320,2mm,1,个,335,335,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
100,风阀,FD,750*450,2mm,13,个,376,4888,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
101,风阀,FD,800*1150,2mm,2,个,679,1358,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
102,风阀,FD,800*200,2mm,25,个,308,7700,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
103,风阀,FD,800*250,2mm,4,个,324,1296,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
104,风阀,FD,800*320,2mm,4,个,347,1388,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
105,风阀,FD,800*400,2mm,6,个,372,2232,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
106,风阀,FD,800*500,2mm,8,个,404,3232,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
107,风阀,FD,800*800,2mm,5,个,501,2505,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
108,风阀,FD,900*400,2mm,1,个,397,397,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
109,风阀,FD,900*800,2mm,4,个,533,2132,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
110,风阀,FVD,1000*500,2mm,6,个,458,2748,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
111,风阀,FVD,320*200,2mm,40,个,206,8240,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
112,风阀,FVD,320*320,2mm,14,个,234,3276,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
113,风阀,FVD,400*200,2mm,8,个,223,1784,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
114,风阀,FVD,400*250,2mm,8,个,235,1880,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
115,风阀,FVD,500*200,2mm,3,个,244,732,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
116,风阀,FVD,500*320,2mm,62,个,276,17112,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
117,风阀,FVD,800*320,2mm,11,个,347,3817,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
118,风阀,MD,1000*400,1.6mm,2,个,285,570,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
119,风阀,MD,1000*630,1.6mm,1,个,353,353,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
120,风阀,MD,1000*800,1.6mm,1,个,403,403,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
121,风阀,MD,1200*1000,1.6mm,1,个,520,520,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
122,风阀,MD,1250*1000,1.6mm,1,个,535,535,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
123,风阀,MD,1250*320,1.6mm,3,个,310,930,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
124,风阀,MD,1250*800,1.6mm,3,个,469,1407,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
125,风阀,MD,1600*1000,1.6mm,1,个,638,638,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
126,风阀,MD,1600*800,1.6mm,1,个,561,561,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
127,风阀,MD,1800*500,1.6mm,1,个,491,491,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
128,风阀,MD,200*120,1.6mm,3,个,71,213,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
129,风阀,MD,250*120,1.6mm,1,个,79,79,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
130,风阀,MD,400*200,1.6mm,2,个,120,240,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
131,风阀,MD,400*630,1.6mm,1,个,209,209,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
132,风阀,MD,500*200,1.6mm,1,个,138,138,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
133,风阀,MD,500*250,1.6mm,2,个,149,298,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
134,风阀,MD,500*320,1.6mm,59,个,165,9735,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
135,风阀,MD,500*800,1.6mm,2,个,270,540,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
136,风阀,MD,630*200,1.6mm,1,个,161,161,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
137,风阀,MD,630*320,1.6mm,2,个,190,380,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
138,风阀,MD,800*320,1.6mm,2,个,223,446,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
139,风阀,MD,800*400,1.6mm,1,个,244,244,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
140,风阀,MD,800*500,1.6mm,2,个,270,540,扬州新扬,不含执行器，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
141,风阀,MEE,1000*500,2mm,2,个,680,1360,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
142,风阀,MEE,1250*320,2mm,2,个,675,1350,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
143,风阀,MEE,1250*400,2mm,1,个,707,707,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
144,风阀,MEE,1250*500,2mm,1,个,747,747,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
145,风阀,MEE,250*120,2mm,1,个,396,396,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
146,风阀,MEE,400*160,2mm,1,个,435,435,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
147,风阀,MEE,400*200,2mm,1,个,445,445,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
148,风阀,MEE,500*250,2mm,2,个,480,960,扬州新扬,全自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
149,风阀,MEEC,1000*500,2mm,2,个,680,1360,扬州新扬,全自动机构，不带熔断功能，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
150,风阀,MEEC,1250*500,2mm,1,个,747,747,扬州新扬,全自动机构，不带熔断功能，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
151,风阀,MEEC,250*120,2mm,1,个,396,396,扬州新扬,全自动机构，不带熔断功能，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
152,风阀,MEEC,400*160,2mm,1,个,435,435,扬州新扬,全自动机构，不带熔断功能，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
153,风阀,MEEC,500*250,2mm,1,个,480,480,扬州新扬,全自动机构，不带熔断功能，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
